"last_name","count"
"Baba",226
"Gelosh",223
"Coorg",223
"Farris",222
"Sudbeck",222
"Adachi",221
"Osgood",220
"Neiman",218
"Masada",218
"Mandell",218
"Wendorf",217
"Boudaillier",217
"Mahnke",216
"Cummings",216
"Solares",216
"Pettis",216
"Maksimenko",215
"Collette",215
"Emmart",215
"Kulisch",215
"Birjandi",215
"Boguraev",214
"Pokrovskii",214
"Scallan",214
"Rosaz",214
"Morrey",213
"Stifter",213
"Wolniewicz",213
"Siksek",213
"Rabehasaina",212
"Taubman",212
"Swen",212
"Pramanik",212
"Garrabrants",212
"Herber",212
"Siepmann",212
"Rajcani",212
"Peek",212
"Cangellaris",211
"Kamber",211
"Kitsuregawa",211
"Asser",211
"Gente",211
"Ventosa",211
"Barriga",211
"Ghemri",211
"Schaaf",210
"Driscoll",210
"Redmiles",210
"Bolsens",210
"Luce",210
"Chenney",209
"Zuberek",209
"Serra",209
"Gerlach",209
"Flowers",209
"Khasidashvili",209
"Malabarba",209
"Gewali",209
"Lunt",209
"Lamparter",209
"Cesareni",208
"Aloia",208
"Panienski",208
"Gecsei",208
"Lowrie",208
"Jenevein",208
"Garnier",207
"Angelopoulos",207
"Lamba",207
"Akazan",207
"Duclos",206
"Hebert",206
"Braunmuhl",206
"Chimia",206
"Gaughan",206
"Bondorf",206
"Perng",206
"Foote",206
"Shimshoni",205
"Bennet",205
"Emden",205
"Ecklund",205
"Panangaden",205
"Garnham",205
"Lanphier",205
"Onuegbe",205
"DeMori",205
"Ponthieu",205
"Aamodt",205
"Siprelle",205
"Marakhovsky",205
"Geffroy",205
"Matzov",205
"Encarnacion",205
"Coors",204
"Shrader",204
"Whitcomb",204
"Luders",204
"Argence",204
"Alpin",204
"Legleitner",204
"Desikan",204
"Shiratori",204
"Swick",204
"Linares",204
"Malinowski",204
"Riexinger",204
"Penttonen",203
"Ramsay",203
"Champarnaud",203
"Lorho",203
"Doering",203
"Ghandeharizadeh",203
"Feinberg",203
"Tetzlaff",203
"Kirkerud",203
"Ishibashi",203
"Tramer",203
"Conta",203
"Herbst",203
"Thummel",202
"Schapire",202
"Lubachevsky",202
"Soicher",202
"Pews",202
"Schlegelmilch",202
"Karnin",202
"Yurek",202
"Kilgour",202
"Biran",202
"Gihr",202
"Kornyak",202
"Kavanagh",201
"Bahl",201
"Clouatre",201
"Kalorkoti",201
"McConalogue",201
"Erdi",201
"Perez",201
"Rusterholz",201
"Krybus",201
"Schusler",201
"Wynblatt",201
"Genther",201
"Morrow",201
"Rouquie",201
"Cooke",201
"Brodie",201
"Taneja",201
"Bernardeschi",201
"Albarhamtoshy",201
"Stanfel",201
"Mukaidono",201
"Pelc",201
"Sgarro",200
"Pocchiola",200
"Pfau",200
"McClurg",200
"Hoppenstand",200
"Heystek",200
"Iwayama",200
"Domenig",200
"Taubenfeld",200
"Norsworthy",200
"Kaelbling",200
"Radivojevic",200
"Nannarelli",200
"Dredge",200
"Otillio",200
"Rosch",200
"Hammerschmidt",200
"Maraist",200
"Mitzlaff",200
"Gimbel",200
"Speek",200
"Auyong",200
"Beetstra",200
"Fargier",200
"Snedden",200
"Gulik",200
"Schreiter",200
"Imataki",200
"Hiroyama",200
"Lindenbaum",200
"Shumilov",200
"Itzigehl",200
"Lamma",200
"Bugrara",200
"Zaumen",199
"Gammage",199
"Sridhar",199
"Muchinsky",199
"Hettesheimer",199
"Hofman",199
"Akaboshi",199
"Brookner",199
"Warwick",199
"Curless",199
"Neimat",199
"Hitomi",199
"Skafidas",199
"Speckmann",199
"Karner",199
"Kawashima",199
"Munawer",199
"Slobodova",199
"Maierhofer",199
"Mawatari",199
"Servieres",199
"Merks",199
"Tiemann",199
"Fortenbacher",199
"Michaels",199
"Rassart",199
"Stanger",198
"McFarlin",198
"Chinin",198
"Ghazalie",198
"Picco",198
"Katiyar",198
"Vigier",198
"Pashtan",198
"Landherr",198
"Parveen",198
"Zallocco",198
"Vernadat",198
"Hiyoshi",198
"Piveteau",198
"Schiper",198
"Matzen",198
"Poupard",198
"Khamsi",198
"Lalonde",198
"Bednarek",198
"Bhattacharjee",198
"Spelt",197
"Mikschl",197
"Avouris",197
"Ohori",197
"Suomi",197
"Boyle",197
"Karcich",197
"Jonsson",197
"Kampfer",197
"Ranta",197
"Pelz",197
"Guting",197
"Ciolek",197
"Schmiedel",197
"Szilard",197
"Oppitz",197
"Baby",197
"Erdmenger",197
"Rajaraman",197
"Merel",197
"Braccini",197
"Gornas",197
"Nishimukai",197
"Miara",197
"Luca",197
"Jiang",197
"Granlund",197
"Weedman",197
